[run.py]: [INFO] [2021-06-05 17:38:35] line:17-->>开始执行web自动化测试
[browser_init.py]: [INFO] [2021-06-05 17:38:41] line:56-->>在localhost使用chrome执行
[browser_init.py]: [INFO] [2021-06-05 17:39:27] line:86-->>开始等待页面元素<('xpath', '/html/body/div[4]/div/div/div/div[2]/div/div/div[1]/form/div[2]/div/input')>是否可见！
[browser_init.py]: [INFO] [2021-06-05 17:39:28] line:97-->>页面元素<('xpath', '/html/body/div[4]/div/div/div/div[2]/div/div/div[1]/form/div[2]/div/input')>可见，等待时间：0.011秒!
[browser_init.py]: [INFO] [2021-06-05 17:39:28] line:140-->>点击<('xpath', '/html/body/div[4]/div/div/div/div[2]/div/div/div[1]/form/div[2]/div/input')>提交
[test_register.py]: [INFO] [2021-06-05 17:39:28] line:27-->>TestZc测试完成
[browser_init.py]: [INFO] [2021-06-05 17:39:36] line:56-->>在localhost使用chrome执行
[test_register.py]: [INFO] [2021-06-05 17:39:37] line:24-->>开始执行TestZc测试
[browser_init.py]: [INFO] [2021-06-05 17:39:50] line:86-->>开始等待页面元素<('xpath', '/html/body/div[6]/div/div[1]/div[2]/a[2]')>是否可见！
[browser_init.py]: [INFO] [2021-06-05 17:39:50] line:97-->>页面元素<('xpath', '/html/body/div[6]/div/div[1]/div[2]/a[2]')>可见，等待时间：0.023秒!
[browser_init.py]: [INFO] [2021-06-05 17:39:50] line:124-->>点击<('xpath', '/html/body/div[6]/div/div[1]/div[2]/a[2]')>
[browser_init.py]: [INFO] [2021-06-05 17:39:51] line:86-->>开始等待页面元素<('xpath', '/html/body/div[4]/div/div/div/div[2]/div/div/div[1]/form/div[1]/input')>是否可见！
[browser_init.py]: [INFO] [2021-06-05 17:39:51] line:97-->>页面元素<('xpath', '/html/body/div[4]/div/div/div/div[2]/div/div/div[1]/form/div[1]/input')>可见，等待时间：0.023秒!
[browser_init.py]: [INFO] [2021-06-05 17:39:51] line:108-->>在<('xpath', '/html/body/div[4]/div/div/div/div[2]/div/div/div[1]/form/div[1]/input')>输入<mik_74>
[browser_init.py]: [INFO] [2021-06-05 17:39:51] line:86-->>开始等待页面元素<('xpath', '/html/body/div[4]/div/div/div/div[2]/div/div/div[1]/form/div[2]/div/input')>是否可见！
[browser_init.py]: [INFO] [2021-06-05 17:39:51] line:97-->>页面元素<('xpath', '/html/body/div[4]/div/div/div/div[2]/div/div/div[1]/form/div[2]/div/input')>可见，等待时间：0.016秒!
[browser_init.py]: [INFO] [2021-06-05 17:39:51] line:108-->>在<('xpath', '/html/body/div[4]/div/div/div/div[2]/div/div/div[1]/form/div[2]/div/input')>输入<123456>
[browser_init.py]: [INFO] [2021-06-05 17:39:52] line:86-->>开始等待页面元素<('xpath', '/html/body/div[4]/div/div/div/div[2]/div/div/div[1]/form/div[2]/div/input')>是否可见！
[browser_init.py]: [INFO] [2021-06-05 17:39:52] line:97-->>页面元素<('xpath', '/html/body/div[4]/div/div/div/div[2]/div/div/div[1]/form/div[2]/div/input')>可见，等待时间：0.012秒!
[browser_init.py]: [INFO] [2021-06-05 17:39:52] line:140-->>点击<('xpath', '/html/body/div[4]/div/div/div/div[2]/div/div/div[1]/form/div[2]/div/input')>提交
[test_register.py]: [INFO] [2021-06-05 17:39:52] line:27-->>TestZc测试完成
[run.py]: [INFO] [2021-06-05 17:39:55] line:19-->>web自动化测试结束
